capacitity,red,green,blue,label
402.8,0.4142,0.3138,0.272,BEER
398.6,0.4142,0.3138,0.272,BEER
398.0,0.4142,0.3138,0.272,BEER
397.0,0.4142,0.3138,0.272,BEER
397.6,0.4142,0.3138,0.272,BEER
397.2,0.4142,0.3138,0.272,BEER
402.0,0.4142,0.3138,0.272,BEER
402.4,0.4142,0.3138,0.272,BEER
402.6,0.4142,0.3138,0.272,BEER
401.8,0.4142,0.3138,0.272,BEER
402.0,0.4142,0.3138,0.272,BEER
401.4,0.4117,0.3152,0.2731,BEER
401.0,0.4117,0.3152,0.2731,BEER
401.2,0.4142,0.3138,0.272,BEER
401.8,0.4142,0.3138,0.272,BEER
401.0,0.4117,0.3152,0.2731,BEER
400.6,0.4117,0.3152,0.2731,BEER
401.0,0.4092,0.3165,0.2743,BEER
400.8,0.4092,0.3165,0.2743,BEER
400.6,0.4092,0.3165,0.2743,BEER
402.2,0.4092,0.3165,0.2743,BEER
402.2,0.4117,0.3152,0.2731,BEER
402.4,0.4117,0.3152,0.2731,BEER
402.4,0.4092,0.3165,0.2743,BEER
402.2,0.4092,0.3165,0.2743,BEER
401.4,0.4092,0.3165,0.2743,BEER
402.4,0.4092,0.3165,0.2743,BEER
401.8,0.4092,0.3165,0.2743,BEER
401.6,0.4092,0.3165,0.2743,BEER
400.8,0.4067,0.3178,0.2754,BEER
400.4,0.4067,0.3178,0.2754,BEER
399.8,0.4067,0.3178,0.2754,BEER
400.2,0.4067,0.3178,0.2754,BEER
402.0,0.4067,0.3178,0.2754,BEER
402.8,0.4067,0.3178,0.2754,BEER
402.8,0.4067,0.3178,0.2754,BEER
402.8,0.4067,0.3178,0.2754,BEER
403.2,0.4092,0.3165,0.2743,BEER
401.4,0.4092,0.3165,0.2743,BEER
401.4,0.4092,0.3165,0.2743,BEER
401.4,0.4092,0.3165,0.2743,BEER
402.0,0.4067,0.3178,0.2754,BEER
401.6,0.4067,0.3178,0.2754,BEER
401.6,0.4067,0.3178,0.2754,BEER
401.0,0.4067,0.3178,0.2754,BEER
400.8,0.4067,0.3178,0.2754,BEER
400.4,0.4067,0.3178,0.2754,BEER
400.4,0.4067,0.3178,0.2754,BEER
402.2,0.4067,0.3178,0.2754,BEER
403.2,0.4092,0.3165,0.2743,BEER
404.0,0.4092,0.3165,0.2743,BEER
404.0,0.4092,0.3165,0.2743,BEER
406.2,0.4092,0.3165,0.2743,BEER
404.6,0.4117,0.3152,0.2731,BEER
404.4,0.4117,0.3152,0.2731,BEER
404.0,0.4142,0.3138,0.272,BEER
402.2,0.4142,0.3138,0.272,BEER
400.8,0.4142,0.3138,0.272,BEER
401.8,0.4142,0.3138,0.272,BEER
401.4,0.4142,0.3138,0.272,BEER
401.2,0.4142,0.3138,0.272,BEER
402.8,0.4167,0.3125,0.2708,BEER
402.0,0.4167,0.3125,0.2708,BEER
401.2,0.4167,0.3125,0.2708,BEER
399.6,0.4167,0.3125,0.2708,BEER
399.6,0.4167,0.3125,0.2708,BEER
400.0,0.4167,0.3125,0.2708,BEER
399.8,0.4167,0.3125,0.2708,BEER
400.0,0.4167,0.3125,0.2708,BEER
402.2,0.4167,0.3125,0.2708,BEER
401.8,0.4167,0.3125,0.2708,BEER
401.4,0.4167,0.3125,0.2708,BEER
401.8,0.4167,0.3125,0.2708,BEER
401.2,0.4167,0.3125,0.2708,BEER
401.0,0.4167,0.3125,0.2708,BEER
401.8,0.4167,0.3125,0.2708,BEER
401.2,0.4167,0.3125,0.2708,BEER
399.8,0.4142,0.3138,0.272,BEER
400.4,0.4142,0.3138,0.272,BEER
400.0,0.4142,0.3138,0.272,BEER
399.0,0.4142,0.3138,0.272,BEER
400.0,0.4117,0.3152,0.2731,BEER
400.6,0.4117,0.3152,0.2731,BEER
399.6,0.4092,0.3165,0.2743,BEER
399.6,0.4092,0.3165,0.2743,BEER
400.4,0.4067,0.3178,0.2754,BEER
399.8,0.4067,0.3178,0.2754,BEER
400.6,0.4067,0.3178,0.2754,BEER
401.6,0.4067,0.3178,0.2754,BEER
402.2,0.4043,0.3191,0.2766,BEER
401.6,0.4043,0.3191,0.2766,BEER
401.8,0.4043,0.3191,0.2766,BEER
401.2,0.4043,0.3191,0.2766,BEER
400.8,0.4067,0.3178,0.2754,BEER
399.8,0.4067,0.3178,0.2754,BEER
400.2,0.4092,0.3165,0.2743,BEER
399.8,0.4092,0.3165,0.2743,BEER
400.4,0.4092,0.3165,0.2743,BEER
400.8,0.4092,0.3165,0.2743,BEER
401.6,0.4092,0.3165,0.2743,BEER
401.4,0.4092,0.3165,0.2743,BEER
401.4,0.4117,0.3152,0.2731,BEER
399.6,0.4117,0.3152,0.2731,BEER
399.2,0.4117,0.3152,0.2731,BEER
399.6,0.4117,0.3152,0.2731,BEER
402.4,0.4117,0.3152,0.2731,BEER
401.8,0.4117,0.3152,0.2731,BEER
403.4,0.4142,0.3138,0.272,BEER
403.0,0.4142,0.3138,0.272,BEER
402.4,0.4167,0.3125,0.2708,BEER
399.0,0.4167,0.3125,0.2708,BEER
400.2,0.4167,0.3125,0.2708,BEER
400.2,0.4167,0.3125,0.2708,BEER
400.8,0.4167,0.3125,0.2708,BEER
400.8,0.4167,0.3125,0.2708,BEER
401.0,0.4142,0.3138,0.272,BEER
